"Medicijn","Dosisaanpassing","Type","Antwoord"
"Praluent 75 mg oplossing voor injectie in een voorgevulde pen","Er is geen aangepaste dosering nodig bij ouderen.","Ouderen","Geen dosisaanpassing"
"Praluent 75 mg oplossing voor injectie in een voorgevulde pen","Er is geen aangepaste dosering nodig voor patiënten met lichte of matig ernstige leverinsufficiëntie. Er zijn geen gegevens beschikbaar over patiënten met ernstige leverinsufficiëntie (zie rubriek 5.2).","Leverinsufficiëntie","Geen dosisaanpassing"
"Praluent 75 mg oplossing voor injectie in een voorgevulde pen","Er is geen aangepaste dosering nodig voor patiënten met lichte of matig ernstige nierinsufficiëntie. Er zijn beperkte gegevens beschikbaar over patiënten met ernstige nierinsufficiëntie (zie rubriek 5.2).","Nierinsufficiëntie","Geen dosisaanpassing"
"Iclusig 15 mg filmomhulde tabletten","Van de 449 patiënten in het klinische onderzoek naar Iclusig waren er 155 (35%) ≥ 65 jaar oud. In vergelijking met patiënten jonger dan 65 jaar hebben oudere patiënten een hogere kans op bijwerkingen.","Ouderen","Geen dosisaanpassing"
"Iclusig 15 mg filmomhulde tabletten","Patiënten met een leverfunctiestoornis kunnen de aanbevolen startdosis krijgen. Voorzichtigheid is geboden wanneer Iclusig wordt toegediend aan patiënten met een leverfunctiestoornis (zie rubrieken 4.4 en 5.2).","Leverinsufficiëntie","Geen dosisaanpassing"
"Iclusig 15 mg filmomhulde tabletten","Uitscheiding via de nieren is geen belangrijke eliminatieweg voor ponatinib. Iclusig is niet onderzocht bij patiënten met nierfunctiestoornis. Patiënten met een geschatte creatinineklaring van ≥ 50 ml/min zouden zonder dosisaanpassing veilig Iclusig moeten kunnen krijgen. Voorzorg wordt aanbevolen bij het toedienen van Iclusig aan patiënten met een geschatte creatinineklaring van < 50 ml/min of terminale nierziekte.","Nierinsufficiëntie","Geen dosisaanpassing"
"JCOVDEN suspensie voor injectie","Er is geen dosisaanpassing nodig bij oudere personen van ≥ 65 jaar. Zie ook rubriek 4.8 en 5.1.","Ouderen","Geen dosisaanpassing"
"Albert Heijn Paracetamol 120 mg, zetpillen","Ouderen: de dosering voor vitale ouderen hoeft niet aangepast te worden. E","Ouderen","Geen dosisaanpassing"
"Albert Heijn Paracetamol 120 mg, zetpillen","chter voor kwetsbare ouderen dient de dosering aangepast te worden en mag niet hoger zijn dan 2 g/dag.","Ouderen","Wel dosisaanpassing"
"Albert Heijn Paracetamol 120 mg, zetpillen","In geval van onvoldoende werking van de nieren (nierinsufficiëntie), dient de dosis te worden verlaagd:","Nierinsufficiëntie","Wel dosisaanpassing"
"Albert Heijn Paracetamol 120 mg, zetpillen","Voor patiënten met onvoldoende werking van de lever (leverinsufficiëntie) of het Syndroom van Gilbert dient de dosis te worden verlaagd (niet hoger dan 60 mg/kg/dag (tot 2 g)) of het toedieningsinterval te worden verlengd.","Leverinsufficiëntie","Wel dosisaanpassing"
"AMGEVITA 20 mg oplossing voor injectie in een voorgevulde spuit","Aanpassing van de dosis is niet vereist.","Ouderen","Geen dosisaanpassing"
"AMGEVITA 20 mg oplossing voor injectie in een voorgevulde spuit","Adalimumab is niet onderzocht in deze patiëntenpopulatie. Er kan geen doseringsadvies worden gegeven.","Leverinsufficiëntie","Niet onderzocht"
"AMGEVITA 20 mg oplossing voor injectie in een voorgevulde spuit","Adalimumab is niet onderzocht in deze patiëntenpopulatie. Er kan geen doseringsadvies worden gegeven.","Nierinsufficiëntie","Niet onderzocht"
"Amlober 5 mg tabletten","Amlodipine in gelijke doses gebruikt bij oudere of jongere patiënten wordt even goed verdragen. Voor 2 ouderen worden normale doseringsschema’s aanbevolen, al dient een verhoging van de dosering met voorzichtigheid plaats te vinden (zie rubriek 4.4 en 5.2).","Ouderen","Geen dosisaanpassing"
"Amlober 5 mg tabletten","Er is geen doseringsschema voor patiënten met een milde tot matige leverinsufficiëntie vastgesteld, daarom dient de dosering van amlodipine met voorzichtigheid te worden gekozen en dient gestart te worden met de laagste dosering binnen het doseringsinterval (zie rubriek 4.4 en 5.2). De farmacokinetiek van amlodipine bij patiënten met een ernstige leverinsufficiëntie is niet bestudeerd. Amlodipine dient te worden gestart bij de laagste dosis en dient langzaam getitreerd te worden bij patiënten met ernstige leverfunctiestoornissen.","Leverinsufficiëntie","Geen dosisaanpassing"
"Amlober 5 mg tabletten","Veranderingen in amlodipine plasmaconcentraties correleren niet met de mate van een verminderde nierfunctie, hierdoor worden normale doses amlodipine aanbevolen. Amlodipine is niet dialyseerbaar","Nierinsufficiëntie","Geen dosisaanpassing"
"Amoxicilline Aurobindo Disper 375 mg, dispergeerbare tabletten","Een aanpassing van de dosering wordt niet nodig geacht.","Ouderen","Geen dosisaanpassing"
"Amoxicilline Aurobindo Disper 375 mg, dispergeerbare tabletten","Voorzichtigheid is geboden en de leverfunctie moet regelmatig worden gemonitord (zie rubrieken 4.4 en 4.8).","Leverinsufficiëntie","Geen dosisaanpassing"
"Aripiprazol Mylan Pharma 5 mg tabletten","De veiligheid en werkzaamheid van aripiprazol voor de behandeling van schizofrenie of manische episode bij bipolaire I stoornis bij patiënten met een leeftijd van 65 jaar en ouder zijn niet vastgesteld. Als gevolg van een grotere gevoeligheid van deze populatie dient, wanneer klinische factoren dit rechtvaardigen, een lagere aanvangsdosering te worden overwogen (zie rubriek 4.4).","Ouderen","Wel dosisaanpassing"
"Aripiprazol Mylan Pharma 5 mg tabletten","Er is geen dosisaanpassing nodig bij patiënten met milde tot matige leverfunctiestoornissen. Voor patiënten met ernstige leverfunctiestoornissen zijn er onvoldoende gegevens beschikbaar om aanbevelingen vast te stellen. Bij deze patiënten dient de dosering voorzichtig te worden gehanteerd. Echter bij patiënten met ernstige leverfunctiestoornissen dient de maximale dagdosering van 30 mg met voorzichtigheid te worden toegepast (zie rubriek 5.2).","Leverinsufficiëntie","Geen dosisaanpassing"
"Aripiprazol Mylan Pharma 5 mg tabletten","Er is geen dosisaanpassing nodig bij patiënten met nierfunctiestoornissen.","Nierinsufficiëntie","Geen dosisaanpassing"
"Atenolol Accord 25 mg tabletten","Bij ouderen dient de behandeling te worden gestart met een l","Ouderen","Geen dosisaanpassing"
"Atenolol Accord 25 mg tabletten","Leverfunctiestoornissen: Geen dosisaanpassingen noodzakelijk.","Leverinsufficiëntie","Geen dosisaanpassing"
"Astarior 10 mg/5 mg, harde capsules","Astarior kan worden toegediend bij patiënten met creatinineklaring ≥ 60 ml/min en is niet geschikt voor patiënten met creatinineklaring < 60 ml/min. Bij deze patiënten wordt een afzonderlijke dosistitratie met de enkelvoudige componenten aanbevolen (zie rubriek 4.4).","Nierinsufficiëntie","Wel dosisaanpassing"
"Astarior 10 mg/5 mg, harde capsules","Ouderen kunnen met Astarior worden behandeld afhankelijk van hun nierfunctie (zie rubriek 4.4 en 5.2).","Ouderen","Geen dosisaanpassing"
"Astarior 10 mg/5 mg, harde capsules","Astarior dient met voorzichtigheid te worden gebruikt bij patiënten met leverinsufficiëntie. Astarior is gecontra-indiceerd bij patiënten met actieve leverziekte (zie rubriek 4.3, 4.4 en 5.2).","Leverinsufficiëntie","Gecontra-indiceerd"
"Azitromycine Aurobindo 250 mg, filmomhulde tabletten.","Voor ouderen kan dezelfde dosis als voor volwassenen worden toegepast. Aangezien er oudere patiënten met aanhoudende pro-aritmische omstandigheden kunnen zijn is een bijzondere voorzichtigheid aanbevolen vanwege het risico op hartritmestoornissen en torsades de pointes (zie rubriek 4.4).","Ouderen","Geen dosisaanpassing"
"Azitromycine Aurobindo 250 mg, filmomhulde tabletten.","Er is geen aanpassing van de dosering vereist bij patiënten met milde tot matige nierinsufficiëntie (GFR 10-80 ml / min). (zie rubriek 4.4). Voorzichtigheid is geboden wanneer azitromycine wordt toegediend aan patiënten met ernstige nierinsufficiëntie (GFR","Nierinsufficiëntie","Geen dosisaanpassing"
"Azitromycine Aurobindo 250 mg, filmomhulde tabletten.","Er is geen aanpassing van de dosering vereist bij patiënten met milde tot matige leverfunctiestoornis.","Leverinsufficiëntie","Geen dosisaanpassing"
"Baclofen Aurobindo 10 mg, tabletten","Bij patiënten met een verminderde nierfunctie, of bij patiënten die een chronische hemodialyse ondergaan, moet een bijzonder lage dosering van baclofen gekozen worden van circa 5 mg per dag. Indien verhogen van de dosis noodzakelijk blijkt, dient dit zeer voorzichtig te gebeuren in verband met mogelijke cumulatie. In deze situatie zijn tekenen en symptomen van overdosering gerapporteerd bij doseringen boven 5 mg per dag (zie rubriek 4.9). Baclofen dient door patiënten met terminale nierinsufficiëntie alleen te worden ingenomen, wanneer de verwachte voordelen opwegen tegen de potentiële risico’s. Deze patiënten dienen nauwlettend gecontroleerd te worden voor snelle diagnose van vroege tekenen en/of symptomen van toxiciteit (bijvoorbeeld slaperigheid, lethargie) (zie rubrieken 4.4 en 4.9).","Nierinsufficiëntie","Wel dosisaanpassing"
"Baclofen Aurobindo 10 mg, tabletten","Er zijn geen studies uitgevoerd bij patiënten met een leverfunctiestoornis die met baclofen behandeld werden. De lever speelt geen significante rol in het metabolisme van baclofen na orale toediening van baclofen (zie rubriek 5.2). Baclofen kan echter de leverenzymen doen stijgen. Daarom dient baclofen aan patiënten met een verminderde leverfunctie voorzichtig te worden voorgeschreven (zie rubriek 4.4).","Leverinsufficiëntie","Niet onderzocht"
